# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
gai 	該	c=4 d=1 t=45655
gai bian 	改變	c=2 d=1 t=103037
gai cheng 	改成	c=121 d=1 t=156495
gai ci 	改次	c=1 d=1 t=121255
gai dao 	改到	c=1 d=1 t=147601
gai dong 	改動	c=17 d=1.00014 t=156666
gai gai 	改改	c=1 d=1 t=4140
gai guo 	改過	c=7 d=1 t=149661
gai hao 	改好	c=2 d=1.0025 t=130970
gai jin 	改進	c=3 d=1 t=83345
gai le 	改了	c=2 d=1 t=52937
gai lv 	概率	c=1 d=1 t=153698
gai mi ma 	改密碼	c=1 d=1 t=20512
gai ming 	改名	c=4 d=1 t=134829
gai nian 	概念	c=5 d=1 t=141949
gai wan 	改完	c=4 d=1 t=149621
gai xia 	改下	c=141 d=1.0825 t=156566
gan 	幹	c=3 d=1 t=145236
gan 	敢	c=1 d=1 t=84466
gan 	趕	c=3 d=1 t=108934
gan diao 	幹掉	c=1 d=1 t=125719
gan ga 	尷尬	c=1 d=1 t=92280
gan ji 	感激	c=5 d=1 t=132574
gan jing 	乾淨	c=3 d=1 t=89645
gan jue 	感覺	c=80 d=1 t=156043
gan lu 	趕路	c=1 d=1 t=61009
gan ma 	幹嘛	c=17 d=1.00078 t=148002
gan ran 	感染	c=1 d=1 t=94468
gan shi jian 	趕時間	c=1 d=1 t=120591
gan xie 	感謝	c=5 d=1 t=97930
gang 	剛	c=24 d=1 t=156658
gang 	港	c=3 d=1 t=77430
gang cai 	剛纔	c=64 d=1.00001 t=151462
gang cai zai 	剛纔在	c=1 d=1 t=64647
gang wei 	崗位	c=6 d=1.94649 t=52147
gao 	搞	c=34 d=1.95132 t=152394
gao 	稿	c=3 d=1 t=140796
gao 	高	c=57 d=1.00017 t=151463
gao bu dong 	搞不懂	c=1 d=1 t=2488
gao ji 	高級	c=1 d=1 t=84175
gao jing 	告警	c=24 d=1 t=124018
gao ke yong 	高可用	c=1 d=1 t=89743
gao shou 	高手	c=2 d=1 t=151961
gao su 	告訴	c=1 d=1 t=48531
gao xiao 	高效	c=2 d=1 t=115690
gao yao 	膏藥	c=1 d=1 t=37316
ge 	個	c=658 d=1.99675 t=156622
ge 	各	c=6 d=1 t=103269
ge 	隔	c=1 d=1 t=57608
ge bie 	各別	c=1 d=1 t=86821
ge ge 	各個	c=1 d=1 t=62428
ge li 	隔離	c=12 d=1 t=138234
ge ren 	個人	c=48 d=1 t=156331
ge shi 	格式	c=56 d=1.91909 t=155751
ge shi hua 	格式化	c=21 d=1 t=155782
ge si la 	哥斯拉	c=1 d=1 t=21845
ge xing 	個性	c=1 d=1 t=24355
ge xing hua 	個性化	c=1 d=1 t=24338
ge zhong 	各種	c=3 d=1 t=70546
gei 	給	c=394 d=1.01086 t=156686
gei cun chu 	給存儲	c=1 d=1 t=117795
gei ding 	給定	c=1 d=1 t=91131
gei ge 	給個	c=2 d=1 t=94394
gei ni 	給你	c=4 d=1 t=102512
gen 	根	c=18 d=1.00295 t=153749
gen 	跟	c=7 d=0.314381 t=122127
gen ben 	根本	c=12 d=1.00025 t=133005
gen bu geng xin 	跟不更新	c=1 d=1 t=122128
gen jin 	跟進	c=2 d=1 t=120170
gen ju 	根據	c=112 d=1.0208 t=156559
gen mu lu 	根目錄	c=3 d=1 t=116570
gen zhe 	跟着	c=1 d=1 t=129787
geng 	更	c=23 d=1 t=151737
geng duo 	更多	c=8 d=1 t=108966
geng gai 	更改	c=11 d=1 t=148523
geng huan 	更換	c=11 d=1 t=146712
geng jia 	更加	c=1 d=1 t=147460
geng xi huan 	更喜歡	c=1 d=1 t=105633
geng xin 	更新	c=1919 d=2.5378 t=156680
geng xin guo 	更新過	c=1 d=1 t=15072
geng zheng 	更正	c=1 d=1 t=66619
gong 	供	c=7 d=1.01485 t=72853
gong 	公	c=1 d=1 t=44820
gong 	共	c=2 d=1 t=108168
gong 	工	c=6 d=1.96079 t=133091
gong chang 	工廠	c=7 d=2.91693 t=145705
gong cheng 	工程	c=5 d=1.94649 t=50225
gong cheng shi 	工程師	c=5 d=1 t=111974
gong dan 	工單	c=78 d=1 t=150899
gong fu 	功夫	c=1 d=1 t=10216
gong gao 	公告	c=87 d=1 t=122281
gong gong 	公共	c=6 d=1 t=65013
gong hao 	工號	c=19 d=1 t=146880
gong ji 	攻擊	c=2 d=1 t=45004
gong jiao 	公交	c=3 d=1.28755 t=133488
gong jiao ka 	公交卡	c=1 d=1 t=110445
gong jing 	宮頸	c=1 d=1 t=94480
gong ju 	工具	c=53 d=1.00002 t=152665
gong kai 	公開	c=24 d=1 t=152338
gong lve 	攻略	c=1 d=1 t=615
gong neng 	功能	c=142 d=1 t=154632
gong neng na ge 	功能哪個	c=1 d=1 t=110889
gong pai 	工牌	c=6 d=1 t=61587
gong shang 	工商	c=1 d=1 t=99533
gong shi 	工時	c=5 d=1 t=110356
gong shui 	供水	c=9 d=1.99005 t=126625
gong si 	公司	c=152 d=1.1267 t=154294
gong si ming 	公司名	c=2 d=1 t=96309
gong si wang luo 	公司網絡	c=1 d=1 t=154295
gong wang 	公網	c=5 d=1 t=69920
gong wei 	工位	c=1 d=1 t=10826
gong xian 	貢獻	c=1 d=1 t=118742
gong xiang 	共享	c=37 d=1.04221 t=146752
gong xin bu 	工信部	c=2 d=1 t=73427
gong yao 	公鑰	c=4 d=1 t=136403
gong yi 	公益	c=1 d=1 t=102470
gong yong 	公用	c=4 d=1 t=123035
gong yong 	共用	c=2 d=1 t=153131
gong you 	公有	c=2 d=1 t=89747
gong yuan 	公園	c=1 d=1 t=37456
gong zhang 	公章	c=1 d=1 t=94554
gong zhong 	公衆	c=31 d=1 t=135452
gong zi 	工資	c=1 d=1 t=96760
gong zi ka 	工資卡	c=1 d=1 t=94236
gong zuo 	工作	c=32 d=1.89583 t=138704
gong zuo liang 	工作量	c=1 d=1 t=22800
gong zuo qun 	工作羣	c=1 d=1 t=30909
gong zuo tai 	工作臺	c=4 d=1.89583 t=65481
gou 	勾	c=1 d=1 t=156136
gou 	夠	c=11 d=1 t=149736
gou 	狗	c=1 d=1 t=133435
gou 	購	c=7 d=1.21654 t=146010
gou bu gou 	夠不夠	c=1 d=1 t=63133
gou mai 	購買	c=15 d=1 t=140142
gou tong 	溝通	c=13 d=1 t=142921
gou wu 	購物	c=3 d=1.68045 t=110523
gou xuan 	勾選	c=4 d=1 t=99472
gou zao 	構造	c=8 d=1.00392 t=122359
gu 	故	c=1 d=1 t=2979
gu 	顧	c=311 d=1.00009 t=152937
gu ding 	固定	c=44 d=1.00573 t=156053
gu fen 	股份	c=3 d=1 t=86507
gu ga 	咕嘎	c=1 d=1 t=96448
gu ji 	估計	c=102 d=3.39406 t=155340
gu ji ai qi 	估計愛妻	c=1 d=1 t=118783
gu jia qi 	顧佳奇	c=60 d=5.79021 t=148719
gu jian 	固件	c=1 d=1 t=40924
gu pi 	孤僻	c=1 d=1 t=121401
gu yuan 	僱員	c=1 d=1 t=102828
gua 	掛	c=23 d=1.00015 t=151971
gua fu 	寡婦	c=1 d=1 t=57136
gua gou 	掛鉤	c=1 d=1 t=150189
gua shi 	掛失	c=1 d=1 t=19742
gua zai 	掛載	c=9 d=1 t=150218
guai 	怪	c=9 d=1.99501 t=143375
guai guai 	乖乖	c=1 d=1 t=143366
guan 	官	c=2 d=1 t=149058
guan 	管	c=29 d=1.00204 t=148176
guan 	關	c=64 d=1.13931 t=151474
guan bi 	關閉	c=56 d=1 t=156219
guan cha 	觀察	c=1 d=0.100988 t=124114
guan cha xia 	觀察下	c=1 d=1 t=124115
guan fang 	官方	c=12 d=1.00001 t=112340
guan ji 	關機	c=2 d=1 t=153426
guan jia 	管家	c=4 d=1 t=93739
guan jian 	關鍵	c=10 d=1 t=153473
guan jian ci 	關鍵詞	c=4 d=1.02129 t=137808
guan jian zi 	關鍵字	c=23 d=1 t=153558
guan kan 	觀看	c=4 d=1 t=133618
guan kan shu 	觀看數	c=2 d=1.9802 t=55726
guan le 	關了	c=1 d=1 t=144468
guan li 	管理	c=425 d=1.00305 t=155969
guan li duan 	管理端	c=3 d=1 t=129791
guan li qi 	管理器	c=1 d=1 t=87504
guan li ye mian 	管理頁面	c=2 d=1 t=11682
guan li ying yong 	管理應用	c=1 d=1 t=22318
guan li yuan 	管理員	c=140 d=1 t=155954
guan lian 	關聯	c=39 d=1.97531 t=154651
guan wang 	官網	c=1 d=1 t=88285
guan wang 	管網	c=1 d=1 t=31940
guan xi 	關係	c=74 d=1 t=156283
guan zhu 	關注	c=40 d=1 t=149172
guang 	光	c=4 d=1 t=133963
guang biao 	光標	c=2 d=1 t=86872
guang bo 	廣播	c=1 d=1 t=75965
guang chang 	廣場	c=9 d=1 t=72763
guang dong sheng 	廣東省	c=1 d=1 t=1048
guang gao 	廣告	c=8 d=1 t=153101
guang huan 	光環	c=1 d=1 t=136211
guang shui 	廣水	c=1 d=1 t=54182
guang tou 	光頭	c=0 d=0.1 t=114580
guang tou qia 	光頭卡	c=1 d=1 t=114581
guang zhou 	廣州	c=3 d=1.91393 t=37381
gui 	貴	c=3 d=1.96079 t=97185
gui 	鬼	c=16 d=1 t=154078
gui dang 	歸檔	c=4 d=1 t=150909
gui fan 	規範	c=2 d=1 t=138016
gui gang 	貴港	c=38 d=1.98733 t=156462
gui hua 	規劃	c=7 d=1 t=131234
gui ji 	軌跡	c=22 d=1.00087 t=151302
gui jiao 	硅膠	c=1 d=1 t=11128
gui tai 	櫃檯	c=2 d=1.00001 t=100332
gui yi 	詭異	c=1 d=1 t=77034
gui ze 	規則	c=74 d=1.26581 t=154217
gun dong 	滾動	c=6 d=1 t=140093
gun dong tiao 	滾動條	c=4 d=1 t=156076
guo 	國	c=3 d=1 t=139427
guo 	過	c=295 d=1.81074 t=156048
guo 	郭	c=9 d=1 t=150404
guo 	鍋	c=1 d=1 t=121341
guo bu lai 	過不來	c=2 d=1 t=76532
guo chang 	過長	c=2 d=1 t=77095
guo cheng 	過程	c=28 d=1.00001 t=146886
guo da 	過大	c=2 d=1.96561 t=108805
guo dong 	果凍	c=1 d=1 t=67674
guo duan 	過段	c=1 d=1 t=154308
guo duo 	過多	c=1 d=1 t=112035
guo fen 	過分	c=1 d=1 t=28306
guo gao 	過高	c=2 d=1 t=90811
guo jia 	國家	c=1 d=1 t=97042
guo jin jing 	郭金晶	c=1 d=1 t=93402
guo lai 	過來	c=47 d=1 t=154815
guo le 	過了	c=5 d=1 t=143026
guo lu 	鍋爐	c=1 d=1 t=41825
guo lv 	過濾	c=151 d=1 t=155495
guo nei 	國內	c=15 d=1 t=153132
guo nei ban 	國內版	c=1 d=1 t=67316
guo qi 	過期	c=47 d=1 t=147932
guo qu 	過去	c=28 d=1 t=152992
guo shi 	過時	c=1 d=1 t=99103
guo wai 	國外	c=3 d=1.12185 t=147134
guo wu yuan 	國務院	c=4 d=1 t=31303
guo xi 	郭熙	c=0 d=0.1 t=150404
guo xi yan 	郭熙妍	c=2 d=1.90484 t=150425
guo zao 	過早	c=1 d=1 t=1883
ha 	哈	c=5 d=0.1 t=98267
ha ha 	哈哈	c=1 d=1 t=143034
hai 	海	c=1 d=1 t=74405
hai 	還	c=282 d=1.60039 t=156198
hai hao 	還好	c=6 d=1 t=152961
hai hui 	還會	c=1 d=1 t=66275
hai mei 	還沒	c=85 d=1 t=155876
hai mei fa 	還沒發	c=1 d=1 t=91846
hai mian 	海綿	c=2 d=1.99501 t=86893
hai mian cheng shi 	海綿城市	c=1 d=1 t=1075
hai neng 	還能	c=2 d=1 t=105383
hai shi 	還是	c=471 d=1.45544 t=155743
hai xiang 	還想	c=1 d=1 t=149551
hai xu yao 	還需要	c=1 d=1 t=86135
hai yan 	海鹽	c=1 d=1 t=40958
hai yao 	還要	c=164 d=1.07465 t=156671
hai you 	還有	c=293 d=1.06602 t=156616
hai you mei you 	還有沒有	c=2 d=1 t=36537
hai zai 	還在	c=42 d=1.00001 t=150233
hai zi 	孩子	c=1 d=1 t=60149
han 	汗	c=5 d=1 t=80774
han hua 	漢化	c=5 d=1 t=55024
han shu 	函數	c=5 d=1 t=93799
han yi 	含義	c=7 d=1 t=156702
hang 	杭	c=2 d=1.90484 t=32656
hang 	航	c=1 d=1 t=9074
hang 	行	c=28 d=2.70323 t=156584
hang hao 	行號	c=1 d=1 t=95840
hang jian ju 	行間距	c=1 d=1 t=51732
hang shu 	行數	c=1 d=1 t=47040
hang ye 	行業	c=31 d=1 t=73212
hang zhou 	杭州	c=3 d=1.01284 t=126233
hao 	好	c=196 d=1.01731 t=156086
hao 	昊	c=12 d=1 t=133126
hao 	耗	c=1 d=1 t=12958
hao 	號	c=260 d=1.02849 t=155885
hao ba 	好吧	c=93 d=1.8825 t=155088
hao chu 	好處	c=1 d=1 t=48615
hao de 	好的	c=1110 d=2.82793 t=155977
hao duo 	好多	c=1 d=1 t=141331
hao hai zi 	好孩子	c=1 d=1 t=11706
hao hao 	好好	c=2 d=1 t=131448
hao ji ci 	好幾次	c=1 d=1 t=94033
hao jiu 	好久	c=1 d=1 t=149094
hao le 	好了	c=1479 d=1.735 t=156498
hao ma 	號碼	c=5 d=1 t=52222
hao miao 	毫秒	c=6 d=1 t=98869
hao qi 	好奇	c=1 d=1 t=27597
hao shi 	耗時	c=3 d=1.97531 t=92131
hao xian 	號線	c=6 d=1 t=144797
hao xiang 	好像	c=298 d=1.59477 t=156542
hao xiang shi 	好象是	c=1 d=1 t=108868
hao yong 	好用	c=1 d=1 t=123630
hao you 	好友	c=3 d=1.03996 t=106773
he 	何	c=8 d=1 t=112566
he 	合	c=3 d=1 t=36871
he 	和	c=877 d=1.90548 t=156426
he 	盒	c=1 d=1 t=7096
he bi bu guo 	和比不過	c=1 d=1 t=122002
he bing 	合併	c=221 d=1 t=154443
he ceng 	何曾	c=0 d=0.1 t=111826
he cheng 	合成	c=2 d=1.97531 t=18540
he da 	和達	c=71 d=1.76404 t=152355
he da ke ji 	和達科技	c=1 d=1 t=57511
he dui 	覈對	c=1 d=1 t=123625
he feng 	和風	c=1 d=1 t=144695
he ji 	合計	c=5 d=1.91393 t=107896
he ji 	合集	c=2 d=1 t=96522
he li 	合理	c=6 d=1 t=131828
he nan sheng 	河南省	c=1 d=1 t=1046
he ni 	和你	c=0 d=0.1 t=6268
he ni bu neng gou 	和你不能夠	c=1 d=1 t=6269
he niu nai 	喝牛奶	c=0 d=0.1 t=112805
he niu nai gai 	喝牛奶改	c=1 d=1 t=112806
he shi 	何時	c=6 d=1 t=152997
he shi 	合適	c=4 d=1 t=155915
he suan 	核酸	c=4 d=1.042 t=156651
he ta 	和他	c=1 d=1 t=143301
he tong 	合同	c=2 d=1 t=118447
he wo 	和我	c=1 d=1 t=131154
he yi 	合一	c=1 d=1 t=118452
he yue 	合約	c=2 d=1 t=129594
he ze 	菏澤	c=3 d=1 t=116076
he zu 	合租	c=1 d=1 t=127578
he zuo 	合作	c=3 d=1 t=125351
hei 	黑	c=7 d=1 t=96253
hei an 	黑暗	c=1 d=1 t=33853
hei he 	黑盒	c=2 d=1.91851 t=98643
hei long jiang 	黑龍江	c=1 d=1 t=40767
hei mao 	黑貓	c=1 d=1 t=86894
hei ming 	黑名	c=1 d=1 t=44926
hei ming dan 	黑名單	c=4 d=1.00002 t=45059
hen 	很	c=49 d=1.01685 t=155721
hen da 	很大	c=1 d=1 t=131541
hen duo 	很多	c=14 d=1 t=139499
hen ji 	很急	c=1 d=1 t=83286
hen jiu 	很久	c=5 d=1 t=101701
hen kuai 	很快	c=2 d=1 t=66969
hen man 	很慢	c=2 d=1 t=89268
hen qi guai 	很奇怪	c=1 d=1 t=77031
hen shao 	很少	c=1 d=1 t=23303
hen wan 	很晚	c=1 d=1 t=19762
heng gang 	橫槓	c=2 d=1.9802 t=103161
heng xian 	橫線	c=1 d=1 t=97661
hong 	紅	c=9 d=1.956 t=151497
hong bao 	紅包	c=7 d=1 t=49031
hong dian 	紅點	c=1 d=1 t=87654
hong meng 	鴻蒙	c=5 d=1 t=143565
hong se 	紅色	c=1 d=1 t=97791
hou 	侯	c=1 d=1 t=69323
hou 	後	c=141 d=1.25284 t=155185
hou 	猴	c=2 d=1.99005 t=152728
hou bian 	後邊	c=1 d=1 t=55564
hou duan 	後端	c=87 d=2.88853 t=155709
hou lai 	後來	c=6 d=1.83527 t=124566
hou men 	後門	c=1 d=1 t=133502
hou mian 	後面	c=105 d=2.61367 t=154973
hou qi 	後期	c=2 d=1.8311 t=112076
hou tai 	後臺	c=431 d=1.00543 t=156546
hou tai dao 	後臺到	c=1 d=1 t=4716
hou tai duan 	後臺端	c=1 d=1 t=21096
hou tui 	後退	c=1 d=1 t=38177
hou xuan ren 	候選人	c=1 d=1 t=129716
hou yi 	後遺	c=1 d=1 t=146524
hou zhui 	後綴	c=7 d=1 t=152000
hu 	互	c=2 d=1 t=74258
hu 	戶	c=29 d=1.96081 t=101828
hu 	湖	c=6 d=1 t=70634
hu 	鶻	c=1 d=1 t=105852
hu bo 	湖泊	c=1 d=1 t=65858
hu hao 	戶號	c=33 d=1 t=152187
hu kou ben 	戶口本	c=1 d=1 t=133808
hu lu wa 	葫蘆娃	c=2 d=1.98511 t=150426
hu lve 	忽略	c=6 d=1 t=123015
hu ming 	戶名	c=1 d=1 t=96721
hu ti 	胡梯	c=1 d=1 t=105851
hu yu shu 	呼籲書	c=1 d=1 t=107544
hu zhu 	互助	c=3 d=1.00023 t=119514
hua 	化	c=22 d=1.91868 t=155752
hua 	滑	c=2 d=1 t=114567
hua 	花	c=6 d=1 t=155657
hua 	華	c=1 d=1 t=31950
hua 	話	c=93 d=1.0008 t=155656
hua diao 	劃掉	c=1 d=1 t=68907
hua dong 	滑動	c=22 d=1 t=127117
hua dong ke ji 	華東科技	c=1 d=1 t=16277
hua fei 	話費	c=1 d=1 t=52880
hua hua 	花花	c=3 d=1 t=67736
hua mian 	畫面	c=2 d=1 t=142101
hua shuo 	話說	c=1 d=1 t=7185
hua ti 	話題	c=61 d=1.97173 t=145640
hua wei 	華爲	c=20 d=4.54328 t=153565
hua yuan 	花園	c=1 d=1 t=133377
hua zhi 	畫質	c=1 d=1 t=59323
huai 	壞	c=2 d=1.94176 t=143694
huai yi 	懷疑	c=1 d=1 t=84269
huan 	換	c=36 d=1.00002 t=149325
huan 	還	c=5 d=1 t=127349
huan bao bu 	環保部	c=1 d=1 t=18237
huan cheng 	換成	c=8 d=1 t=132531
huan cun 	緩存	c=144 d=1.06215 t=155985
huan ge 	換個	c=5 d=1 t=122061
huan hang 	換行	c=6 d=1 t=142886
huan hang fu 	換行符	c=1 d=1 t=68415
huan jing 	環境	c=313 d=1.00361 t=156603
huan kuan 	還款	c=3 d=1.99501 t=110528
huan qian 	還錢	c=1 d=1 t=94432
huan xia 	換下	c=3 d=1 t=77297
huan xing 	喚醒	c=1 d=1 t=37270
huan ying 	歡迎	c=3 d=1 t=74746
huan yuan 	還原	c=31 d=1 t=153574
huan zheng 	換證	c=1 d=1 t=46534
huang 	晃	c=1 d=1 t=123732
huang 	黃	c=1 d=1 t=67792
huang feng 	黃蜂	c=1 d=1 t=150427
huang he 	黃河	c=1 d=1 t=31933
huang hou 	皇后	c=1 d=1 t=133378
huang ren 	黃人	c=1 d=1 t=115777
huang shan 	黃山	c=2 d=1.90484 t=25301
huang ye 	黃頁	c=1 d=1 t=119895
hui 	匯	c=3 d=1 t=37453
hui 	回	c=30 d=1 t=156659
hui 	暉	c=51 d=1.01083 t=156296
hui 	會	c=284 d=2.35361 t=156655
hui 	灰	c=3 d=1.99501 t=108062
hui bao 	彙報	c=2 d=1 t=149187
hui bian 	彙編	c=3 d=1 t=25462
hui bu hui 	會不會	c=10 d=1 t=148526
hui che 	回車	c=2 d=1 t=79604
hui che jian 	回車鍵	c=1 d=1 t=73143
hui da 	回答	c=39 d=1 t=152701
hui da zhe 	回答者	c=3 d=1 t=102913
hui diao 	回調	c=26 d=1 t=153312
hui diao chu li 	回調處理	c=1 d=1 t=17031
hui du 	灰度	c=2 d=1 t=143222
hui er 	會兒	c=2 d=1 t=32703
hui fu 	回覆	c=59 d=1.99348 t=129614
hui fu 	恢復	c=28 d=1 t=140834
hui gui 	回歸	c=1 d=1 t=22811
hui gun 	回滾	c=2 d=1.9802 t=17685
hui guo 	回國	c=2 d=1.99005 t=150753
hui hua 	會話	c=6 d=1 t=135095
hui jia 	回家	c=23 d=1 t=150352
hui kuan 	匯款	c=2 d=1 t=96799
hui lai 	回來	c=15 d=1 t=140728
hui lv 	匯率	c=1 d=1 t=109459
hui qu 	回去	c=10 d=1 t=79887
hui se 	灰色	c=2 d=1 t=37459
hui sheng hui ying 	會聲會影	c=1 d=1 t=22520
hui sheng hui ying 	繪聲繪影	c=1 d=1 t=22508
hui shou 	回收	c=6 d=1 t=112869
hui shou zhan 	回收站	c=4 d=2.94406 t=114134
hui tiao 	回調	c=5 d=1 t=144890
hui tui 	回退	c=50 d=1.00385 t=155633
hui yi 	回憶	c=1 d=1 t=57140
hui yi 	會議	c=58 d=1.61878 t=148063
hui yi hao 	會議號	c=1 d=1 t=133947
hui you 	會有	c=3 d=1 t=105709
hui yuan 	會員	c=2 d=1 t=104411
hui zong 	彙總	c=10 d=1.76745 t=132612
hun 	混	c=4 d=1.00114 t=141787
hun luan 	混亂	c=1 d=1 t=27307
hun tun 	餛飩	c=1 d=1 t=37300
hun xiao 	混淆	c=4 d=1 t=133158
hun zai 	混在	c=1 d=1 t=76050
huo 	或	c=35 d=1.00465 t=156558
huo 	火	c=1 d=1 t=17597
huo bi 	貨幣	c=8 d=2.67473 t=99550
huo de 	獲得	c=3 d=1.99005 t=121322
huo dong 	活動	c=2 d=1 t=89328
huo jian 	火箭	c=1 d=1 t=71790
huo jian dan 	火箭彈	c=1 d=1 t=148267
huo qu 	獲取	c=98 d=2.01227 t=156409
huo shan 	火山	c=1 d=1 t=96149
huo xing 	活性	c=1 d=1 t=31922
huo yue 	活躍	c=1 d=0.1 t=143213
huo zhe 	或者	c=64 d=1.00003 t=155366
ibeacon dui 	iBeacon對	c=1 d=1 t=118011
ji 	即	c=5 d=1.00499 t=143417
ji 	季	c=3 d=1.31822 t=133666
ji 	幾	c=11 d=1 t=132731
ji 	急	c=10 d=1.27828 t=140905
ji 	擠	c=1 d=1 t=148817
ji 	極	c=1 d=1 t=109457
ji 	機	c=26 d=1 t=147825
ji 	級	c=12 d=1.0008 t=151762
ji 	計	c=1 d=1 t=35036
ji 	記	c=20 d=1 t=134193
ji 	集	c=4 d=1 t=155596
ji ben 	基本	c=26 d=1 t=156481
ji ben shang 	基本上	c=1 d=1 t=30043
ji bie 	級別	c=2 d=1 t=104121
ji cha 	稽查	c=6 d=1 t=140665
ji chang 	機場	c=1 d=1 t=4693
ji cheng 	繼承	c=8 d=1 t=144429
ji cheng 	集成	c=23 d=1 t=143558
ji chu 	基礎	c=5 d=1 t=138439
ji ci 	幾次	c=3 d=1 t=122325
ji cuo 	記錯	c=2 d=1 t=99281
ji de 	記得	c=123 d=1.00066 t=156444
ji di 	基地	c=1 d=1 t=91183
ji dian 	幾點	c=9 d=1 t=154150
ji dong 	激動	c=2 d=1 t=156052
ji fang 	機房	c=1 d=1 t=142290
ji fen 	積分	c=15 d=1 t=107202
ji fen zhong 	幾分鐘	c=1 d=1 t=139493
ji ge 	幾個	c=40 d=1 t=151658
ji ge ren 	幾個人	c=1 d=1 t=70566
ji guang 	極光	c=1 d=1 t=104175
ji hang 	幾行	c=0 d=0.1 t=46999
ji hang hou 	幾行後	c=1 d=1 t=47000
ji he 	集合	c=1 d=1 t=56013
ji hua 	計劃	c=51 d=1.00238 t=152957
ji huo 	激活	c=3 d=1 t=41151
ji huo ma 	激活碼	c=3 d=1.98511 t=38819
ji ke 	即可	c=9 d=1 t=154971
ji liang 	計量	c=14 d=1.96079 t=41868
ji lu 	記錄	c=166 d=1.61217 t=156694
ji lv 	機率	c=5 d=1 t=134162
ji miao 	幾秒	c=1 d=1 t=37128
ji qi 	機器	c=17 d=1 t=154393
ji qi 	記起	c=1 d=1 t=99119
ji qi mao 	機器貓	c=1 d=1 t=154740
ji qi ren 	機器人	c=24 d=1.93958 t=154385
ji qun 	集羣	c=14 d=1 t=151886
ji ran 	既然	c=3 d=1 t=151048
ji shi 	即使	c=1 d=1 t=107018
ji shi 	即時	c=5 d=1 t=104124
ji shi 	及時	c=7 d=1 t=90330
ji shi 	計時	c=3 d=1 t=111312
ji shi tong xun 	即時通訊	c=3 d=1.78817 t=8312
ji shu 	技術	c=9 d=1 t=125529
ji shu 	計數	c=6 d=1.90032 t=152952
ji shu qi 	計數器	c=2 d=1 t=104633
ji shui 	給水	c=1 d=1 t=1044
ji suan 	計算	c=27 d=2.82004 t=155773
ji suan ji 	計算機	c=3 d=1 t=114053
ji ta 	吉他	c=1 d=1 t=97934
ji tian 	幾天	c=3 d=1 t=124329
ji tiao 	幾條	c=2 d=1 t=90946
ji wei 	幾位	c=4 d=1 t=151531
ji xia 	幾下	c=1 d=1 t=74993
ji xia 	記下	c=1 d=1 t=102596
ji xiao 	績效	c=2 d=1 t=149513
ji xie 	機械	c=1 d=1 t=133375
ji xu 	繼續	c=4 d=1 t=132981
ji ya 	積壓	c=1 d=1 t=36389
ji ye 	幾頁	c=2 d=1 t=7836
ji yi 	記憶	c=3 d=1 t=137137
ji yu 	基於	c=1 d=1 t=18081
ji zeng 	激增	c=1 d=1 t=96447
ji zhang 	記賬	c=1 d=1 t=99511
ji zhi 	機制	c=9 d=1 t=155924
ji zhong 	幾種	c=2 d=1 t=138979
ji zhu 	記住	c=2 d=1 t=28471
ji zhun 	基準	c=1 d=1 t=76124
ji zi 	機子	c=1 d=1 t=79726
jia 	佳	c=29 d=1.02825 t=148718
jia 	假	c=5 d=1.16696 t=151126
jia 	價	c=4 d=1 t=147024
jia 	加	c=424 d=1.39093 t=156257
jia 	嘉	c=2 d=1.91393 t=70655
jia 	夾	c=11 d=1.47951 t=146653
jia 	家	c=12 d=1.97045 t=150369
jia 	架	c=2 d=1.93239 t=95497
jia ban 	加班	c=38 d=1 t=148246
jia bu jiao 	加不叫	c=1 d=1 t=131414
jia fa 	加法	c=2 d=1 t=92038
jia ge 	價格	c=8 d=1 t=113033
jia ge 	加個	c=37 d=1.00266 t=152925
jia gou 	架構	c=28 d=1 t=156513
jia hao 	加號	c=6 d=1 t=144589
jia hao le 	加好了	c=1 d=1 t=126334
jia jian 	加減	c=1 d=1 t=116034
jia jiao 	家教	c=1 d=1 t=131654
jia li 	家裏	c=6 d=1 t=148262
jia mi 	加密	c=10 d=1 t=134524
jia neng 	佳能	c=1 d=1 t=57151
jia qi 	假期	c=2 d=1 t=102677
jia ru 	加入	c=30 d=1 t=136437
jia shang 	加上	c=29 d=1 t=151449
jia si 	假死	c=1 d=1 t=90361
jia su 	加速	c=4 d=1.99005 t=148643
jia ting 	家庭	c=10 d=1 t=143723
jia xia 	加下	c=4 d=1 t=153438
jia xie 	加些	c=1 d=1 t=71139
jia xing 	嘉興	c=31 d=1 t=139619
jia xing shi 	嘉興市	c=3 d=1 t=70652
jia zai 	加在	c=2 d=1 t=63529
jia zai 	加載	c=40 d=1.00804 t=153974
jia zhang 	家長	c=1 d=1 t=114591
jia zhi 	價值	c=1 d=1 t=6650
jia zi duan 	加字段	c=1 d=1 t=66968
jian 	件	c=14 d=1 t=121528
jian 	健	c=10 d=1 t=109023
jian 	剪	c=2 d=1.94176 t=122773
jian 	建	c=124 d=1.49164 t=156227
jian 	簡	c=259 d=1.91456 t=152887
jian 	見	c=10 d=1 t=154077
jian 	鍵	c=5 d=1.00165 t=73151
